rebalance_date,next_rebalance_date,portfolio_return_gross,transaction_cost,slippage_cost,portfolio_return_net,qqq_return,tqqq_return,excess_return,portfolio_value,qqq_value,tqqq_value,turnover
2019-05-01,2019-06-03,-0.036814137389884476,0.0,0.0,-0.036814137389884476,-0.09956078122846634,-0.28042253004311535,0.06274664383858186,273496.9105931214,150539.46279331122,235726.11091527657,0.6666666666666666
2019-06-03,2019-07-01,0.13456502814386134,0.0,0.0,0.13456502814386134,0.1149688794455408,0.3663050621990791,0.019596148698320548,310300.03006434394,167846.81614299188,322073.77863604395,0.0
2019-07-01,2019-08-01,-0.040556340438982964,0.0,0.0,-0.040556340438982964,0.004702491154266131,0.007006142442181007,-0.045258831593249095,297715.3964068278,168636.11431117603,324330.2734060596,0.6666666666666666
2019-08-01,2019-09-03,-0.05925663492326816,0.0,0.0,-0.05925663492326816,-0.023665712498246116,-0.09199137601890595,-0.03559092242502204,280073.78385091235,164645.22051306636,294494.68527084816,0.6666666666666666
2019-09-03,2019-10-01,-0.0793182366953304,0.0,0.0,-0.0793182366953304,0.010760485336907433,0.024008236970035846,-0.09007872203223784,257858.82517126887,166416.88299418913,301564.9834612468,1.3333333333333333
2019-10-01,2019-11-01,0.1285440594106691,0.0,0.0,0.1285440594106691,0.06194252889048535,0.1834053247399383,0.06660153052018375,291005.04531364975,176725.1655769212,356873.607183151,0.6666666666666666
2019-11-01,2019-12-02,-0.041303697829957645,0.0,0.0,-0.041303697829957645,0.020767456209423774,0.057186811711181784,-0.06207115403938142,278985.4608550216,180395.2977141431,377282.0709618241,1.3333333333333333
2019-12-02,2020-01-02,0.13619611400170598,0.0,0.0,0.13619611400170598,0.06713602326199464,0.2077733298824469,0.06906009073971134,316982.1964864506,192506.32061783425,455671.2231505079,0.6666666666666666
2020-01-02,2020-02-03,0.22420385306217108,0.0,0.0,0.22420385306217108,0.02877500915962994,0.07815942569326251,0.19542884390254114,388050.826290823,198045.6917568991,491286.22425689804,0.6666666666666666
2020-02-03,2020-03-02,0.06885709530350002,0.0,0.0,0.06885709530350002,-0.026800866320834005,-0.10649363592752215,0.09565796162433403,414770.8790193321,192737.89564670535,438967.367954677,0.6666666666666666
2020-03-02,2020-04-01,-0.1937689954221369,0.0,0.0,-0.1937689954221369,-0.15581516368649284,-0.5231401997017554,-0.03795383173564407,334401.1424613995,162706.40888792378,209325.89142031333,0.6666666666666666
